Family name,Title,Personal name,Fate,Age,Department/Class,Passenger/Crew,Citizenship,Adult/Minor,Sex,age_was_imputed
KELLY,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
KELLY,Mr.,Sidney Crawford,lost,32.0,Engineering,Crew,British,Adult,male,False
KELLY,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
KENNEDY,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
KENNEDY,Mr.,John James,lost,32.0,Engineering,Crew,British,Adult,male,False
KENNY,Mr.,Joseph,lost,32.0,Engineering,Crew,British,Adult,male,False
KEOGH     ,Mr.,P.                        ,saved,32.0,Engineering,Crew,British,Adult,male,False
KING,Mr.,Michael,lost,32.0,Engineering,Crew,British,Adult,male,False
LAFFEY,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
LARKIN,Mr.,James J.,lost,32.0,Engineering,Crew,British,Adult,male,False
LATHAM,Mr.,George,lost,32.0,Engineering,Crew,British,Adult,male,False
LAWRENCE,Mr.,William,saved,32.0,Engineering,Crew,British,Adult,male,False
LAWSON,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
LAWTON,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
LEA,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
LEATHERS,Mr.,Samuel,lost,32.0,Engineering,Crew,British,Adult,male,False
LEE,Mr.,Daniel,lost,50.0,Engineering,Crew,British,Adult,male,False
LEE,Mr.,William,lost,32.0,Engineering,Crew,British,Adult,male,False
LEECH,Mr.,T.,saved,32.0,Engineering,Crew,British,Adult,male,False
LEMON,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
LEWIS,Mr.,F.,lost,32.0,Engineering,Crew,British,Adult,male,False
LEWIS,Mr.,Joseph,saved,32.0,Engineering,Crew,British,Adult,male,False
LINTON,Mr.,Isaac,lost,48.0,Engineering,Crew,British,Adult,male,False
LITTLE,Mr.,George,saved,32.0,Engineering,Crew,British,Adult,male,False
LOCKHART,Mr.,Peter,lost,32.0,Engineering,Crew,British,Adult,male,False
LOUGHRAN,Mr.,Patrick,lost,19.0,Engineering,Crew,British,Adult,male,False
LYONS,Mr.,Archibald,lost,32.0,Engineering,Crew,British,Adult,male,False
MADDEN,Mr.,John,lost,43.0,Engineering,Crew,British,Adult,male,False
MADDEN,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
MALFIAT,Mr.,Shef,saved,32.0,Engineering,Crew,Belgian,Adult,male,False
MALLIN,Mr.,William,lost,32.0,Engineering,Crew,British,Adult,male,False
MANAN,Mr., Andrew,lost,32.0,Engineering,Crew,British,Adult,male,False
MANNING,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
